Course number,Course title,Registration restrictions,Units,Type,Section,Session,Time,Days,Seats,Registered,Waitlist,Instructor,Room,Department
,,,,Lab,30409R,1.0,2:00-3:20pm,Friday,60.0,0.0,0.0,,SOSB46,CSCI
CSCI-454L,Introduction to System-on-Chip,P,4.0 units,Lecture,30911D,1.0,2:00-3:50pm,"Mon, Wed",45.0,0.0,0.0,Shahin Nazarian,KAP156,CSCI
,,,,Lab,30559R,1.0,9:00-10:50am,Friday,45.0,0.0,0.0,,THH212,CSCI
CSCI-455x,Introduction to Programming Systems Design,,4.0 units,Lecture,30100D,1.0,12:30-1:50pm,"Tue, Thu",120.0,0.0,0.0,Claire Bono,OHE122,CSCI
,,,,Lab,29950R,1.0,4:00-5:50pm,Thursday,30.0,0.0,0.0,,SAL109,CSCI
,,,,Lab,30192R,1.0,2:00-3:50pm,Thursday,30.0,0.0,0.0,,SAL126,CSCI
,,,,Lab,30205D,1.0,6:00-7:50pm,Thursday,30.0,0.0,0.0,,SAL109,CSCI
,,,,Lab,30262D,1.0,10:00-11:50am,Friday,30.0,0.0,0.0,,DMC150,CSCI
,,,,Lecture,29963D,14.0,12:30-1:50pm,"Tue, Thu",30.0,0.0,0.0,Claire Bono,DEN@Viterbi,CSCI
,,,,Lab,29964R,14.0,TBA,,30.0,0.0,0.0,,DEN@Viterbi,CSCI
CSCI-457,Computer Systems Organization,P,4.0 units,Lecture,31284R,1.0,2:00-3:50pm,"Mon, Wed",60.0,0.0,0.0,Gandhi Puvvada,GFS101,CSCI
,,,,Lecture,31305D,14.0,4:00-5:50pm,"Tue, Thu",20.0,0.0,0.0,,DEN@Viterbi,CSCI
,,,,Lecture,31338R,1.0,4:00-5:50pm,"Tue, Thu",82.0,0.0,0.0,Gandhi Puvvada,OHE132,CSCI
,,,,Discussion,30569R,1.0,4:00-4:50pm,Wednesday,82.0,0.0,0.0,,OHE132,CSCI
,,,,Discussion,30605R,1.0,12:00-12:50pm,Friday,95.0,0.0,0.0,,SLH200,CSCI
,,,,Discussion,31285D,14.0,4:00-4:50pm,Wednesday,20.0,0.0,0.0,,DEN@Viterbi,CSCI
,,,,Quiz,31336D,14.0,6:00-9:00pm,Thursday,20.0,0.0,0.0,,DEN@Viterbi,CSCI
,,,,Quiz,31337R,1.0,6:00-9:00pm,Thursday,180.0,0.0,0.0,,OFFICE,CSCI
CSCI-458,Numerical Methods,P,4.0 units,Lecture,39679D,1.0,11:00-11:50am,MWF,40.0,0.0,0.0,,WPH102,CSCI
,,,,Discussion,39680R,1.0,10:00-10:50am,"Tue, Thu",20.0,0.0,0.0,,WPHB36,CSCI
,,,,Discussion,39681R,1.0,11:00-11:50am,"Tue, Thu",20.0,0.0,0.0,,SOSB37,CSCI
,,,,Lecture,39682D,1.0,2:00-2:50pm,MWF,49.0,0.0,0.0,,KAP144,CSCI
,,,,Discussion,39683R,1.0,12:00-12:50pm,"Tue, Thu",25.0,0.0,0.0,,MHP102,CSCI
,,,,Discussion,39684R,1.0,1:00-1:50pm,"Tue, Thu",24.0,0.0,0.0,,DMC109,CSCI
CSCI-461,Artificial Intelligence for Sustainable Development,P,4.0 units,Lecture,29996D,1.0,4:00-5:50pm,"Mon, Wed",60.0,0.0,0.0,Bistra Dilkina,GFS101,CSCI
CSCI-467,Introduction to Machine Learning,P,4.0 units,Lecture,30277D,1.0,2:00-3:20pm,"Mon, Wed",72.0,0.0,0.0,Victor Adamchik,THH210,CSCI
,,,,Discussion,30278R,1.0,2:00-2:50pm,Friday,72.0,0.0,0.0,,THH210,CSCI
CSCI-476,Cryptography: Secure Communication and Computation,P,4.0 units,Lecture,30030R,1.0,10:00-11:50am,"Mon, Wed",30.0,0.0,0.0,,THH215,CSCI
CSCI-485,File and Database Management,P,4.0 units,Lecture,30110D,1.0,3:30-5:20pm,"Mon, Wed",40.0,0.0,0.0,,WPH102,CSCI
CSCI-490x,Directed Research,C,"1.0-8.0 units, max 12",Lecture,30144D,1.0,TBA,,30.0,0.0,0.0,,OFFICE,CSCI
CSCI-491aL,Advanced Game Project,C,4.0 units,Lecture-Lab,29989D,1.0,2:00-5:20pm,Thursday,50.0,0.0,0.0,Scott Easley,EGG108,CSCI
