Course number,Course title,Instructor
MATH-710,Seminar in Algebra,
MATH-725,Seminar in Analysis,
MATH-733,Seminar in Combinatorics,
MATH-735,Seminar in Differential Geometry,
MATH-740,Seminar in Topology,
MATH-741,Seminar in Statistics,
MATH-755,Seminar in Partial Differential Equations,
MATH-790,Research,
MATH-794a,Doctoral Dissertation,
MATH-794b,Doctoral Dissertation,
MATH-794c,Doctoral Dissertation,
MATH-794d,Doctoral Dissertation,
MATH-794z,Doctoral Dissertation,
BUAD-101,Freshman Leadership Seminar,
BUAD-111,World Bachelor in Business Program Freshman Academy,Marion Philadelphia
BUAD-112,AI for Business Freshman Academy,Charlie Hannigan
BUAD-200x,Economic Foundations for Business,
BUAD-201x,Introduction to Business for Non-Majors,
,,
BUAD-252,Choosing and Planning a Future Career in Business,Andrew Ogilvie
BUAD-280,Introduction to Financial Accounting,
,,
,,
,,
,,
,,
,,
,,
,,
,,
BUAD-281,Introduction to Managerial Accounting,
,,
,,
,,
,,
,,
,,
,,
BUAD-301,Technology Entrepreneurship,
,,
BUAD-302,Communication Strategy in Business,Maria Colman
,,Andrew Ogilvie
,,Maria Colman
,,Maria Colman
,,Stacy Geck
,,Pavitra Kavya
,,Stacy Geck
,,Pavitra Kavya
,,Stacy Geck
,,James Owens
,,Trevor Wiseman
,,Kevin Caporicci
,,Trevor Wiseman
,,James Owens
,,Madge Gaynor
,,Madge Gaynor
,,Jason Frenn
,,Stephen Lind
,,Stephen Lind
,,Jason Frenn
,,Cesar Armendariz
BUAD-304,Organizational Behavior and Leadership,Thomas Cummings
,,Thomas Cummings
,,Thomas Cummings
,,Marco Aponte-Moreno
,,
,,
,,Nik Lewis
,,Nik Lewis
,,Nik Lewis
,,Eric Anicich
,,Agnes Andor
,,Eric Anicich
,,Lynn Robinson
,,Shannon Faris
,,Nik Lewis
,,Jody Tolan
,,Jody Tolan
,,Agnes Andor
,,Gordon Ho
BUAD-305,Abridged Core Concepts of Accounting Information,Ruben Davila
,,Ruben Davila
,,
BUAD-306,Business Finance,
,,
,,
,,
,,
,,
,,
,,
,,
BUAD-307,Marketing Fundamentals,Nofar Duani
,,Nofar Duani
,,Nofar Duani
,,Giovanni Luca Cascio Rizzo
,,Giovanni Luca Cascio Rizzo
,,Giovanni Luca Cascio Rizzo
,,Giovanni Luca Cascio Rizzo
,,Giovanni Luca Cascio Rizzo
,,Joseph Priester
,,Joseph Priester
,,Joseph Priester
,,Joseph Priester
,,Joseph Priester
,,Joseph Priester
,,Lars Perner
,,Lars Perner
,,Lars Perner
,,Lars Perner
,,Lars Perner
,,Lars Perner
,,Rex Kovacevich
,,Rex Kovacevich
,,Rex Kovacevich
,,Rex Kovacevich
,,Rex Kovacevich
,,Rex Kovacevich
BUAD-308,Advanced Business Finance,
,,
,,
,,
BUAD-310g,Applied Business Statistics,Charlie Hannigan
,,Charlie Hannigan
,,Charlie Hannigan
,,Charlie Hannigan
,,Charlie Hannigan
,,Francis Pereira
,,Francis Pereira
,,Francis Pereira
,,Francis Pereira
,,Francis Pereira
,,Keith Robinson
,,Keith Robinson
,,Keith Robinson
,,Keith Robinson
,,Keith Robinson
,,Cosimo Arnesano
,,Cosimo Arnesano
,,Cosimo Arnesano
,,Cosimo Arnesano
,,Cosimo Arnesano
,,Waverly Wei
,,Waverly Wei
,,Waverly Wei
,,Waverly Wei
,,Waverly Wei
BUAD-311,Operations Management,Sebnem Manolya Demir
,,Kathy Takayama
,,Kathy Takayama
,,Kathy Takayama
,,Kathy Takayama
,,Angela Zhou
,,Angela Zhou
,,Angela Zhou
,,
,,
,,
BUAD-312g,Statistics and Data Science for Business,Jacob Bien
,,Tianmin Xie
,,Jacob Bien
BUAD-313,Advanced Operations Management and Analytics,Paat Rusmevichientong
,,Paat Rusmevichientong
BUAD-315x,Basics of Project and Operations Management for Non-Majors,Vitaly Glozman
BUAD-425,Introduction to Business Analytics,Robertas Gabrys
,,Robertas Gabrys
,,Robertas Gabrys
,,Robertas Gabrys
,,Inga Maslova
,,Robertas Gabrys
,,Robertas Gabrys
,,Inga Maslova
,,Inga Maslova
BUAD-490x,Directed Research,Marion Philadelphia
,,Marion Philadelphia
,,
BUAD-494,Marshall Honors Research and Thesis,
,,
,,Sriram Dasu
BUAD-497,Strategic Management,John Robinson
,,Melody Chang
,,Melody Chang
,,Courtney Brunious
,,Marina Mesin Zagar
,,Courtney Brunious
,,Melody Chang
,,John Eklund
,,John Eklund
,,Arvind Ramakrishnan
,,Marina Mesin Zagar
,,Marina Mesin Zagar
,,Reza Bavafa
ECON-101g,"Free People, Free Thought and Free Markets",Scott Soames Thomas Chaney
ECON-203g,Principles of Microeconomics,Brijesh Pinto
,,
,,
,,
,,
,,
,,
,,Xin Jiang
,,
,,
,,
,,
,,Yilmaz Kocer
,,
,,
,,
,,
ECON-205g,Principles of Macroeconomics,Diego de Sousa Rodrigues
,,
,,
,,
,,
,,Jaime Meza
,,
,,
,,
,,
ECON-303,Intermediate Microeconomic Theory,Yilmaz Kocer
,,Ergin Bayrak
,,Ergin Bayrak
,,Daniel Bennett
ECON-305,Intermediate Macroeconomic Theory,Jaime Meza
,,Robert Dekle
,,Lodovico Pizzati
,,Mark Moore
ECON-317,Introduction to Statistics for Economists,Lodovico Pizzati
,,Manochehr Rashidian
,,Manochehr Rashidian
,,Lodovico Pizzati
ECON-318,Introduction to Econometrics,Manochehr Rashidian
,,
,,
,,Italo Lopez Garcia
,,
,,
,,Adam Kaufman
,,
,,
ECON-343,Economic Development of East Asia,
ECON-344,Economic Development of Sub-Saharan Africa,John Strauss
ECON-351x,Microeconomics for Business,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
ECON-352x,Macroeconomics for Business,
,,
,,
,,
,,
,,
,,
,,
,,
ECON-357,"Money, Credit, and Banking",
,,Ladan Masoudie
ECON-366,Urban Economics,
ECON-395,Economic Policy Issues,
ECON-404,Games and Economics,Juan Carrillo
ECON-420,Experimental Economics,Juan Carrillo
ECON-450,International Trade,Terrie Walmsley
ECON-452,International Finance,Mark Moore
ECON-457,Financial Markets,
,,Steven Sapra
ECON-460,Economic Applications of Machine Learning,Dong Woo Hahm
ECON-464,The Principles of Market Design,
ECON-474,Economic Consulting and Applied Managerial Economics,Jeffrey Dubin
ECON-475,"Topics in Philosophy, Politics and Economics",
ECON-480,Economics of Industrial Organization,Ziyi Qiu
ECON-487,Resource and Environmental Economics,Matthew Kahn
ECON-490x,Directed Research,
ECON-495,Honors Thesis,
ECON-500,Microeconomic Analysis and Policy,Daniel Bennett
,,Brijesh Pinto
,,Ergin Bayrak
,,Brijesh Pinto
ECON-501,Macroeconomic Analysis and Policy,Matthew Delventhal
,,
,,Ladan Masoudie
,,Matthew Delventhal
ECON-504,Game Theory with Economic and Financial Applications,Yilmaz Kocer
,,Yilmaz Kocer
ECON-508,Neurofinance,Giorgio Coricelli
ECON-513,Practice of Econometrics,Manochehr Rashidian
,,Dong Woo Hahm
,,Manochehr Rashidian
,,Geert Ridder
ECON-515,Time Series Analysis,Ratika Narag
,,Ratika Narag
ECON-564,Introduction to Market Design,Nicolas Lambert
ECON-570,Big Data Econometrics,Dong Woo Hahm
,,
,,Dong Woo Hahm
ECON-571,Economics of Digital Platforms,Ziyi Qiu
,,Ziyi Qiu
ECON-577,Foundations of Financial Economics,Steven Sapra
ECON-581,"Industrial Organization, Innovation and Applications",Ziyi Qiu
ECON-584,Economic Consulting and Applied Econometrics,Jeffrey Dubin
,,Jeffrey Dubin
ECON-585,Advanced Economics Consulting and Antitrust Methods,Jeffrey Dubin
ECON-590,Directed Research,
ECON-593x,Practicum in Teaching the Liberal Arts,
ECON-596,Internship for Curricular Practical Training,
ECON-601,Microeconomic Theory I,Nicolas Lambert Jonathan Libgober
ECON-602,Macroeconomic Theory I,Caroline Betts Monica Morlacco
ECON-608,Advanced Neuroeconomics,Giorgio Coricelli
ECON-611,Probability and Statistics for Economists,Geert Ridder
ECON-613,Economic and Financial Time Series I,Hyungsik Roger Moon
ECON-620L,Experimental Methods I,Isabelle Brocas
ECON-636,Health Economics I,
ECON-641,Empirical Analysis of Economic Development,Vittorio Bassi
ECON-642,"Poverty, Human Resources and Economic Development",John Strauss
ECON-650,International Trade Theory,Thomas Chaney Monica Morlacco
ECON-686a,Empirical Methods in Economics,Timothy Armstrong Daniel Bennett John Strauss
ECON-688,Empirical Industrial Organization,
ECON-690,Seminar in Economic Theory,Nicolas Lambert
ECON-691,Seminar in Econometrics,Yuehao Bai
ECON-692,Seminar in Economic Development,
ECON-693,Seminar in Applied Economics and Public Policy,Juan Carrillo
ECON-694,Seminar in Dynamic Economics,Marianne Andries Thomas Chaney
ECON-696,Empirical Microeconomics Seminar,
ECON-700,Research on Frontier Economics,
,Applied Micro Reading Group,Paulina Oliva
,Applied Micro Reading Group,Vittorio Bassi
,Econometrics Reading Group,Geert Ridder
,Macro Reading Group,Marianne Andries Thomas Chaney
,Micro Reading Group,Jonathan Libgober
ECON-794a,Doctoral Dissertation,
ECON-794b,Doctoral Dissertation,
ECON-794c,Doctoral Dissertation,
ECON-794d,Doctoral Dissertation,
ECON-794z,Doctoral Dissertation,
ENGR-100a,Engineering Honors Colloquium,
ENGR-100b,Engineering Honors Colloquium,
ENGR-102,Engineering Freshman Academy,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
ENGR-301,Technology Entrepreneurship,
,,
ENGR-395ax,Cooperative Education Work Experience,
ENGR-395bx,Cooperative Education Work Experience,
ENGR-395cx,Cooperative Education Work Experience,
ENGR-395dx,Cooperative Education Work Experience,
ENGR-400,Engineering Honors Projects,
ENGR-445,Principles and Practices of Global Innovation,Stephen Lu
,,Stephen Lu
ENGR-492,Thought Leadership in a Technologically Changing World,
ENGR-494,Technology Development and Commercialization,
PSYC-100Lg,Introduction to Psychology,Kyoung sook Kim
,,
,,
,,
,,
,,
,,
,,
,,
,,Kyoung sook Kim
,,
,,
,,
,,
,,
,,
,,
,,
,,Patricia George
,,
,,
,,
,,
,,
,,
,,
,,
,,Laila Madni
,,
,,
,,
,,
,,
,,
,,
,,
PSYC-210mgw,Social Analysis of Gender,Chris Belcher
,,
,,
,,
,,
,,
,,
PSYC-274Lg,Statistics,Meng Chen
,,
,,
,,David Walsh
,,
,,
,,Canan Ipek
,,
,,
,,Rand Wilcox
,,
,,
,,William Breland
,,
,,
,,Canan Ipek
,,
,,
,,David Walsh
,,
,,
PSYC-275Lg,Language and Mind,Barry Schein Toby Mintz
,,
,,
,,
,,
PSYC-290,Supervised Research in Psychology,Antoine Bechara
PSYC-301L,Cognitive Processes,Vitaliya Droutman
,,Bryan Shilowich
PSYC-304L,Sensation and Perception,Clayton Stephenson
PSYC-305,Learning and Memory,Clayton Stephenson
PSYC-314L,Experimental Research Methods,Kyoung sook Kim
,,
,,
,,Clayton Stephenson
,,
,,
PSYC-316L,Non-Experimental Research Methods,Bryan Shilowich
,,
,,
,,Bryan Shilowich
,,
,,
PSYC-326,Behavioral Neuroscience,Shirin Birjandi
PSYC-336L,Developmental Psychology,Michael Cameron
,,Vitaliya Droutman
,,Vitaliya Droutman
PSYC-337L,Adult Development and Aging,David Walsh
PSYC-353g,Close Relationships,Miranda Barone
,,Miranda Barone
PSYC-355,Social Psychology,Miranda Barone
,,Elisa Baek
PSYC-360,Psychological Disorders,David Schwartz
,,Sourena Haj-Mohamadi
,,Iony Ezawa
,,Sourena Haj-Mohamadi
PSYC-361,Introduction to Clinical Psychology,Gerald Davison
PSYC-363,Criminal Behavior,Lorraine Cuadra
PSYC-367g,"Stress, Health, and the Mind-Body Connection",Bruna Klein
,,Bruna Klein
PSYC-406,Psycholinguistics,
PSYC-424,Neuropsychology,Shirin Birjandi
PSYC-426,Motivated Behaviors and Addiction,John Monterosso
PSYC-427,Neuropsychopharmacology,Shirin Birjandi
PSYC-433,Children's Learning and Cognitive Development,Sandy LaTourrette
PSYC-434,"Intelligence, Problem Solving and Creativity",William Breland
PSYC-436,Developmental Neuroscience of Human Behavior,Santiago Morales
PSYC-437,Adolescent Development,David Schwartz
PSYC-440,Foundations of Cognitive Neuroscience,Jason Zevin
